commune_id,commune_name,poblacion,superficie_km2,ingreso_promedio,nse
15101,Arica,210936,4799.4,800000,C3
15102,Camarones,679,3927,780000,C3
15201,Putre,1462,5902.5,780000,C3
15202,General Lagos,739,2244.4,780000,C3
01101,Iquique,184953,2242.1,900000,C3
01107,Alto Hospicio,94455,572.9,750000,D
01401,Pozo Almonte,11519,13765.8,820000,C3
01402,Camiña,1156,2200.2,820000,C3
01403,Colchane,1384,4015.6,820000,C3
01404,Huara,2360,10474.6,820000,C3
01405,Pica,4194,8934.3,820000,C3
02101,Antofagasta,348669,30718.1,1100000,C2
02102,Mejillones,9752,3803.9,950000,C2
02103,Sierra Gorda,1206,12886,950000,C2
02104,Taltal,13493,20405.1,950000,C2
02201,Calama,147886,15596.9,980000,C2
02202,Ollagüe,332,2964,950000,C2
02203,San Pedro de Atacama,5605,23439,950000,C2
02301,Tocopilla,20091,4038.8,950000,C2
02302,María Elena,4593,12197,950000,C2
03101,Copiapó,158261,16681.3,850000,C3
03102,Caldera,16150,4666.6,780000,C3
03103,Tierra Amarilla,13912,11191,780000,C3
03201,Chañaral,14146,5772,780000,C3
03202,Diego de Almagro,16452,18664,780000,C3
03301,Vallenar,52099,7084,780000,C3
03302,Alto del Carmen,5488,5939,780000,C3
03303,Freirina,6532,3207.9,780000,C3
03304,Huasco,9015,1601.4,780000,C3
04101,La Serena,211275,1892.8,780000,C3
04102,Coquimbo,202441,1429,750000,C3
04103,Andacollo,11116,310,720000,D
04104,La Higuera,4331,4158.2,720000,D
04105,Paihuano,4252,1495,720000,D
04106,Vicuña,26029,7610,720000,D
04201,Illapel,30598,2629,720000,D
04202,Canela,9182,2196.6,720000,D
04203,Los Vilos,18483,1823.8,720000,D
04204,Salamanca,25671,3445,720000,D
04301,Ovalle,112956,3835,720000,D
04302,Combarbalá,13818,2257.5,720000,D
04303,Monte Patria,30137,4366.9,720000,D
04304,Punitaqui,10418,1339,720000,D
04305,Río Hurtado,4149,2180,720000,D
05101,Valparaíso,308137,401.6,820000,C3
05102,Casablanca,25165,953,820000,C3
05103,Concón,63210,76,820000,C3
05104,Juan Fernández,792,149.4,820000,C3
05105,Puchuncaví,16371,300,820000,C3
05107,Quintero,28066,148,820000,C3
05109,Viña del Mar,311399,121.6,900000,C3
05201,Isla de Pascua,5761,163.6,820000,C3
05301,Los Andes,110866,1248,780000,C3
05302,Calle Larga,11110,321.7,820000,C3
05303,Rinconada,8097,122.5,820000,C3
05304,San Esteban,17371,681,820000,C3
05401,La Ligua,38524,1163,820000,C3
05402,Cabildo,21094,1455,820000,C3
05403,Papudo,5643,64.2,820000,C3
05404,Petorca,10074,1517,820000,C3
05405,Zapallar,6726,288,820000,C3
05501,Quillota,88803,302,820000,C3
05502,La Calera,55207,60.5,820000,C3
05503,Hijuelas,19132,267,820000,C3
05504,La Cruz,17346,78,820000,C3
05506,Nogales,26385,405,820000,C3
05601,San Antonio,87697,405,820000,C3
05602,Algarrobo,13817,176,820000,C3
05603,Cartagena,17029,246,820000,C3
05604,El Quisco,15829,51,820000,C3
05605,El Tabo,11861,99,820000,C3
05606,Santo Domingo,9205,536,820000,C3
05701,San Felipe,72121,186,820000,C3
05702,Catemu,13902,361.6,820000,C3
05703,Llay-Llay,23680,349.1,820000,C3
05704,Panquehue,7569,121.9,820000,C3
05705,Putaendo,17369,1474,820000,C3
05706,Santa María,14504,166.3,820000,C3
05801,Quilpué,162320,537,820000,C3
05802,Limache,45864,294,820000,C3
05803,Olmué,16243,232,820000,C3
05804,Villa Alemana,135368,97,800000,C3
06101,Rancagua,250638,260.3,780000,C3
06102,Codegua,12725,287,680000,D
06103,Coinco,7248,98,680000,D
06104,Coltauco,17620,225,680000,D
06105,Doñihue,21023,78,680000,D
06106,Graneros,30372,113,680000,D
06107,Las Cabras,23857,749,680000,D
06108,Machalí,44566,2597,680000,D
06109,Malloa,14972,113,680000,D
06110,Mostazal,23430,524,680000,D
06111,Olivar,13483,45,680000,D
06112,Peumo,14158,153.1,680000,D
06113,Pichidegua,18637,320,680000,D
06114,Quinta de Tilcoco,12144,93,680000,D
06115,Rengo,56188,755,680000,D
06116,Requínoa,26235,673,680000,D
06117,San Vicente,47716,497.8,680000,D
06201,Pichilemu,13916,749.1,680000,D
06202,La Estrella,4821,435,680000,D
06203,Litueche,5591,619,680000,D
06204,Marchigüe,7557,660,680000,D
06205,Navidad,5650,300,680000,D
06206,Paredones,6802,562,680000,D
06301,San Fernando,75221,2441,680000,D
06302,Chépica,15820,503,680000,D
06303,Chimbarongo,35664,498,680000,D
06304,Lolol,6630,597,680000,D
06305,Nancagua,18921,111,680000,D
06306,Palmilla,12373,237,680000,D
06307,Peralillo,10933,282.6,680000,D
06308,Placilla,9624,146.9,680000,D
06309,Pumanque,3458,441,680000,D
06310,Santa Cruz,35255,419.5,680000,D
07101,Talca,264842,232,750000,C3
07102,Constitución,41416,1344,650000,D
07103,Curepto,9714,1073.8,650000,D
07104,Empedrado,4250,565,650000,D
07105,Maule,21957,190,650000,D
07106,Pelarco,7959,332,650000,D
07107,Pencahue,9187,956.8,650000,D
07108,Río Claro,13020,431,650000,D
07109,San Clemente,39554,4504,650000,D
07110,San Rafael,8512,263.5,650000,D
07201,Cauquenes,40245,2216,650000,D
07202,Chanco,9571,530,650000,D
07203,Pelluhue,6636,371,650000,D
07301,Curicó,177766,1328,700000,C3
07302,Hualañé,9977,629,650000,D
07303,Licantén,6689,273,650000,D
07304,Molina,40329,1552,650000,D
07305,Rauco,9878,309,650000,D
07306,Romeral,14460,1597,650000,D
07307,Sagrada Familia,17839,548.8,650000,D
07308,Teno,28228,618.4,650000,D
07309,Vichuquén,4335,426,650000,D
07401,Linares,107311,1466,680000,D
07402,Colbún,19361,2900,650000,D
07403,Longaví,28968,1454,650000,D
07404,Parral,39404,1638,650000,D
07405,Retiro,18760,827,650000,D
07406,San Javier,40881,1313,650000,D
07407,Villa Alegre,15428,190,650000,D
07408,Yerbas Buenas,17158,262,650000,D
16101,Chillán,175585,511.2,700000,C3
16102,Bulnes,21542,425.4,640000,D
16103,Chillán Viejo,29199,291.8,640000,D
16104,El Carmen,11830,664.3,640000,D
16105,Pemuco,9120,562.7,640000,D
16106,Pinto,10883,1164,640000,D
16107,Quillón,15525,423,640000,D
16108,San Ignacio,15770,363.6,640000,D
16109,Yungay,18234,823.5,640000,D
16201,Quirihue,11851,589,640000,D
16202,Cobquecura,5173,570.3,640000,D
16203,Coelemu,15461,342.3,640000,D
16204,Ninhue,5278,401.2,640000,D
16205,Portezuelo,5061,282.3,640000,D
16206,Ránquil,4983,248.3,640000,D
16207,Treguaco,4995,313.1,640000,D
16301,San Carlos,51335,874,640000,D
